scope,scope_value,side,matches,axis,value,n,coverage_pct
year,2025,bf,8,shots_on_target_share,27.8,8,100.0
year,2025,bf,8,shots_inside_box_share,60.9,8,100.0
year,2025,bf,8,big_chances_per_match,2.9,8,100.0
year,2025,bf,8,crosses_per_match,17.1,8,100.0
year,2025,bf,8,dribbles_per_match,16.0,8,100.0
year,2025,bf,8,dribble_success,51.6,8,100.0
year,2025,bf,8,aerial_win,57.6,8,100.0
year,2025,bf,8,ground_duel_win,51.0,8,100.0
year,2025,bf,8,tackles_per_match,14.4,8,100.0
year,2025,bf,8,interceptions_per_match,8.1,8,100.0
year,2025,bf,8,recoveries_per_match,46.4,8,100.0
year,2025,bf,8,clearances_per_match,13.9,8,100.0
year,2025,bf,8,corners_per_match,5.0,8,100.0
year,2025,bf,8,fouls_per_match,17.0,8,100.0
year,2025,opp,8,possession,49.8,8,100.0
year,2025,opp,8,pass_accuracy,78.1,8,100.0
year,2025,opp,8,passes_per_match,363.1,8,100.0
year,2025,opp,8,long_ball_share,17.5,8,100.0
year,2025,opp,8,long_ball_accuracy,44.0,8,100.0
year,2025,opp,8,shots_per_match,9.6,8,100.0
year,2025,opp,8,shots_on_target_share,36.4,8,100.0
year,2025,opp,8,shots_inside_box_share,51.9,8,100.0
year,2025,opp,8,big_chances_per_match,2.1,8,100.0
year,2025,opp,8,crosses_per_match,12.2,8,100.0
year,2025,opp,8,dribbles_per_match,10.9,8,100.0
year,2025,opp,8,dribble_success,51.7,8,100.0
year,2025,opp,8,aerial_win,42.4,8,100.0
year,2025,opp,8,ground_duel_win,49.0,8,100.0
year,2025,opp,8,tackles_per_match,13.5,8,100.0
year,2025,opp,8,interceptions_per_match,10.5,8,100.0
year,2025,opp,8,recoveries_per_match,48.4,8,100.0
year,2025,opp,8,clearances_per_match,22.0,8,100.0
year,2025,opp,8,corners_per_match,3.2,8,100.0
year,2025,opp,8,fouls_per_match,14.6,8,100.0
